ID,locale,title
27284494-f697-4b60-a12d-4d88c6523e41,de,title-5584106
27284494-f697-4b60-a12d-4d88c6523e41,cs,title-5584107
27284495-f971-4def-b788-18ad6d5cc639,pl,title-25158156
27284495-f971-4def-b788-18ad6d5cc639,zh,title-25158157
27284496-48fd-45e1-a556-920995b921b7,pl,title-13902176
27284496-48fd-45e1-a556-920995b921b7,sv,title-13902177
27284497-7c83-4e09-b4e7-ef5f0fb401fb,fr,title-20636124
27284497-7c83-4e09-b4e7-ef5f0fb401fb,pl,title-20636125
27284498-9476-4ee1-a9e6-08d7759dd045,de,title-17307827
27284498-9476-4ee1-a9e6-08d7759dd045,fr,title-17307828
27284499-c595-4fa2-b910-97b61c5009dd,ar,title-20384097
27284499-c595-4fa2-b910-97b61c5009dd,tr,title-20384098
27284500-978c-484f-9c14-dac239ccfb3e,tr,title-21660501
27284500-978c-484f-9c14-dac239ccfb3e,nl,title-21660502
27284501-f1fe-414c-95d0-5f80ae2bac20,es,title-16047547
27284501-f1fe-414c-95d0-5f80ae2bac20,ja,title-16047548
27284502-380e-4527-966d-b6709f949f55,ko,title-28249041
27284502-380e-4527-966d-b6709f949f55,ms,title-28249042
27284503-b63b-4859-bbc1-ce047a9e1d90,ar,title-9881187
27284503-b63b-4859-bbc1-ce047a9e1d90,zh,title-9881188
27284504-0bca-4428-b6e4-fc7d288db1f3,en,title-9039223
27284504-0bca-4428-b6e4-fc7d288db1f3,ja,title-9039224
27284505-1373-45ae-98c9-9c72eda20f01,it,title-27736483
27284505-1373-45ae-98c9-9c72eda20f01,pt,title-27736484
27284506-c5a3-4dfd-8862-5fc64fa5fdb9,ms,title-13524917
27284506-c5a3-4dfd-8862-5fc64fa5fdb9,ar,title-13524918
27284507-9594-46bd-bb0a-7c77e572a2ab,fi,title-11728879
27284507-9594-46bd-bb0a-7c77e572a2ab,th,title-11728880
27284508-eff4-4292-8703-b0128669c714,pl,title-17588121
27284508-eff4-4292-8703-b0128669c714,it,title-17588122
27284509-7c78-4fbb-b49b-b9533af600d8,tr,title-664888
27284509-7c78-4fbb-b49b-b9533af600d8,ko,title-664889
27284510-5e56-4e8f-8a1f-83e96ca42c49,tr,title-20903787
27284510-5e56-4e8f-8a1f-83e96ca42c49,ms,title-20903788
27284511-ec7a-4cf8-b613-ca972955d29d,zh,title-25903857
27284511-ec7a-4cf8-b613-ca972955d29d,de,title-25903858
27284512-cf66-4a1e-b0cb-464bdfe4fe3b,tr,title-12933664
27284512-cf66-4a1e-b0cb-464bdfe4fe3b,hu,title-12933665
27284513-b81a-40b2-9c55-1e6928b94d00,ro,title-22000817
27284513-b81a-40b2-9c55-1e6928b94d00,nl,title-22000818
